ds,yhat,yhat_lower,yhat_upper
2016-09-12,-5.1664785744,-154.793068842809,146.72328360588497
2016-10-03,19.16612424698614,-123.93209129754963,158.16298105967476
2016-10-10,27.27699185411485,-124.73503114356541,178.1802249331914
2017-01-02,124.60740313965938,-27.500091150290867,275.210801168677
2017-01-09,132.7182707472223,-20.572445379075077,288.9567550812324
2017-01-16,140.82913835478524,-13.252641986803715,290.848714861069
2017-01-23,148.94000596234812,-19.510240507417894,297.58876676048163
2017-01-30,157.0508735708328,-0.43175300985293297,305.93251867818424
2017-02-06,165.1617411793175,7.656213673588536,314.5440311186372
2017-02-13,173.27260878765026,12.684222795804926,314.7324537014458
2017-02-20,181.38347639598308,30.936366851855833,335.89366046527545
2017-02-27,189.49434400431585,38.50920179707069,342.3604926923106
2017-03-06,197.60521161250267,52.29383979071347,347.08537125711246
2017-03-13,205.7160792206895,56.953945584597825,360.442090696242
2017-03-20,213.82694682887632,54.83665335485243,366.54208722561634
2017-03-27,221.93781443604354,76.13867599060359,375.96048455818294
2017-04-03,230.04868204321073,81.81974239953081,393.1148085944534
2017-04-10,238.159549650378,95.40154141312557,393.365671430641
2017-04-17,246.2704172565761,87.96772153373632,398.4063601126487
2017-04-24,254.3812848627742,97.75884302790868,409.3778252717785
2017-05-01,262.49215246897234,101.86104694883164,418.3311970208528
2017-05-08,270.60302007530436,124.57260236978952,417.55415585380257
2017-05-15,278.71388768163644,124.13741115766801,441.95955323996037
2017-05-22,286.8247552886797,128.6164555886353,435.51461086718143
2017-05-29,294.93562289572293,154.47261941785254,452.05535802113224
2017-06-05,303.04649050276623,151.9421069130977,451.252847983468
2017-06-12,311.15735810871513,160.13135024341295,467.4463251841093
2017-06-19,319.2682257146641,162.57178503509326,457.8630883693697
2017-06-26,327.37909332061304,179.7900034125102,493.87319697365257
2017-07-03,335.4899609253938,186.72620268877077,488.507776724702
2017-07-10,343.6008285301745,197.86733907311182,485.86184371774124
2017-07-17,351.7116961349553,202.59182816178225,495.2951701713644
2017-07-24,359.82256373924827,203.83931105907394,509.75121308536717
2017-07-31,367.9334313435412,224.73138313011972,522.3228453050243
2017-08-07,376.04429894783414,221.2863832771582,523.6155234814206
2017-08-14,384.15516655159144,223.03115857506543,533.3866999097061
2017-08-21,392.26603415534873,234.3597084738108,535.5090404066804
2017-08-28,400.3769017581364,245.66771821559126,551.8395800926235
2017-09-04,408.4877693609242,250.84482484259397,547.2699304538861
2017-09-11,416.59863696371195,270.3557899014626,565.2617454321503
2017-09-18,424.7095045669172,263.56149282088415,579.8835886471934
2017-09-25,432.8203721701225,290.22007531647915,589.562010983128
2017-10-02,440.9312397733277,284.9240553313213,590.4549340966591
2017-10-09,449.04183210510075,291.65641925577046,599.204376414827
2017-10-16,457.1524244368737,296.02283784734846,598.3678167907284
2017-10-23,465.26301676864665,320.5526438964672,627.6849239017399
2017-10-30,473.37360738453106,338.61327433596523,631.652444657163
2017-11-06,481.48419800041546,324.1932716081176,632.9052179573916
2017-11-13,489.59478861629987,335.08201532246443,635.6331646271442
2017-11-20,497.7047562215342,341.9553284849984,642.4845868422957
2017-11-27,505.8147238267686,357.7415301314742,661.8407750004736
2017-12-04,513.9246881392081,360.3733608917432,669.2726702059184
2017-12-11,522.0346524516477,370.2178659664929,690.1162521568215
2017-12-18,530.1446167640872,378.7797892196168,679.3034804284404
2017-12-25,538.2539557283587,374.88268296262214,686.2040556445808
2018-01-01,546.3632946926302,397.37233505826134,703.8511306836363
2018-01-08,554.472633656902,405.3171888755881,713.4868366783045
2018-01-15,562.5818408803462,415.26238295260805,726.2261192648765
2018-01-22,570.6910481037909,420.9141116278331,721.1629219965656
2018-01-29,578.8002553272354,429.787389874677,741.2333264991664
2018-02-05,586.9081239062185,435.73693417307743,737.8624098289156
2018-02-12,595.0159924852017,442.8064518784853,746.9543354038482
2018-02-19,603.1238610641848,454.27069319264615,765.4844179107996
2018-02-26,611.229722672524,462.0582886660668,750.4594293471871
2018-03-05,619.335584280863,474.1291599232918,764.6996374541969
2018-03-12,627.4407857761191,484.26441785699944,764.7718658498596
2018-03-19,635.545987271375,473.101009013299,790.4475789312565
2018-03-26,643.651188766631,490.5860219084804,794.4931135815352
2018-04-02,651.7563902605726,493.81598091253596,807.4060743965604
2018-04-09,659.8615917545143,513.9869645563359,813.6025098888343
2018-04-16,667.9667932484558,503.50555045902905,810.7439344433772
2018-04-23,676.0719947409256,526.5340648401307,818.7749445718753
2018-04-30,684.1771962333951,540.064074268735,837.2943816986422
2018-05-07,692.2823977258646,535.591163534923,852.2089333040008
2018-05-14,700.3875992183342,542.0340824634643,843.3867015083896
2018-05-21,708.4928007108037,558.082612712361,867.6201122110642
2018-05-28,716.5980022032734,560.8554302524644,863.6259981228959
2018-06-04,724.7032036957429,564.9398790781321,874.2902324969467
2018-06-11,732.8084051882126,568.9487342533428,879.8535427709903
2018-06-18,740.9136066806822,587.395594762071,896.2961688707741
2018-06-25,749.0188081731518,593.8635274826248,902.3162294258547
2018-07-02,757.1240096656213,613.3558421928849,914.1427612590098
2018-07-09,765.2292111580908,611.5341078699281,913.8008324527632
2018-07-16,773.3344126505605,624.035865640631,931.2484989598595
2018-07-23,781.43961414303,627.880192813394,940.0881882707258
2018-07-30,789.5448156354997,641.702066990863,937.9447009600959
2018-08-06,797.6500171279692,648.9376911642219,936.380973704944
2018-08-13,805.7552186204389,648.8454213939006,947.7308986227865
2018-08-20,813.8604201129084,662.3209349672195,967.9195571122851
2018-08-26,820.8077356778824,665.4397575183982,959.1378981576144
2018-09-02,828.9129371703519,669.9802118562674,985.0199834121386
2018-09-09,837.0181386628217,689.6339169108169,995.6785809633171
2018-09-16,845.1233401552912,693.4770309459343,1008.7529059396272
2018-09-23,853.2285416477607,696.0606269505209,1012.249246065563
2018-09-30,861.3337431402301,704.6033576908868,1006.1721270021429
2018-10-07,869.4389446326998,717.0201079775477,1024.2741835076374
2018-10-14,877.5441461251693,725.4762545333446,1025.9619427849325
2018-10-21,885.6493476176389,731.3463025685604,1034.9988435732523
2018-10-28,893.7545491101084,733.0074687081735,1049.2464883578484
2018-11-04,901.8597506025782,750.7837571692849,1056.1476702849595
2018-11-11,909.9649520950477,749.9127603512668,1066.059089741865
